sample_index,t_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
379,3.60711508699751,0.0,0.0,0.0,0.0,0.0,0.0
380,3.615219657003763,0.0,0.0,0.0,0.0,0.0,0.0
381,3.623123162004049,0.0,0.0,0.0,0.0,0.0,0.0
382,3.631126153006335,0.0,0.0,0.0,0.0,0.0,0.0
383,3.639109758005361,0.0,0.0,0.0,0.0,0.0,0.0
384,3.6471346390026156,0.0,0.0,0.0,0.0,0.0,0.0
385,3.655119005998131,0.0,0.0,0.0,0.0,0.0,0.0
386,3.663122857993585,0.0,0.0,0.0,0.0,0.0,0.0
387,3.671127722001984,0.0,0.0,0.0,0.0,0.0,0.0
388,3.679103803006001,0.0,0.0,0.0,0.0,0.0,0.0
389,3.6871188770019216,0.0,0.0,0.0,0.0,0.0,0.0
390,3.6951626329973806,0.0,0.0,0.0,0.0,0.0,0.0
391,3.7031016050023027,0.0,0.0,0.0,0.0,0.0,0.0
392,3.7111105259973556,0.0,0.0,0.0,0.0,0.0,0.0
393,3.7191586010012543,0.0,0.0,0.0,0.0,0.0,0.0
394,3.7271278489934048,0.0,0.0,0.0,0.0,0.0,0.0
395,3.7351219539996237,0.0,0.0,0.0,0.0,0.0,0.0
396,3.7431241330050398,0.0,0.0,0.0,0.0,0.0,0.0
397,3.75110725700506,0.0,0.0,0.0,0.0,0.0,0.0
398,3.75912308099214,0.0,0.0,0.0,0.0,0.0,0.0
399,3.7671527119964594,0.0,0.0,0.0,0.0,0.0,0.0
400,3.77512282099633,0.0,0.0,0.0,0.0,0.0,0.0
401,3.7831215649930527,0.0,0.0,0.0,0.0,0.0,0.0
402,3.7911252960038837,0.0,0.0,0.0,0.0,0.0,0.0
403,3.7991493070003344,0.0,0.0,0.0,0.0,0.0,0.0
404,3.80713811100577,0.0,0.0,0.0,0.0,0.0,0.0
405,3.815197025993257,0.0,0.0,0.0,0.0,0.0,0.0
406,3.8231304780056234,0.0,0.0,0.0,0.0,0.0,0.0
407,3.831119000999024,0.0,0.0,0.0,0.0,0.0,0.0
408,3.839110200002324,0.0,0.0,0.0,0.0,0.0,0.0
409,3.8471281889942475,0.0,0.0,0.0,0.0,0.0,0.0
410,3.855124937996152,0.0,0.0,0.0,0.0,0.0,0.0
411,3.8631303930014838,0.0,0.0,0.0,0.0,0.0,0.0
412,3.871136159999878,0.0,0.0,0.0,0.0,0.0,0.0
413,3.8791360549948877,0.0,0.0,0.0,0.0,0.0,0.0
414,3.8871359399927314,0.0,0.0,0.0,0.0,0.0,0.0
415,3.8951512229978107,0.0,0.0,0.0,0.0,0.0,0.0
416,3.9031172859977232,0.0,0.0,0.0,0.0,0.0,0.0
417,3.91111943499709,0.0,0.0,0.0,0.0,0.0,0.0
418,3.919170736000524,0.0,0.0,0.0,0.0,0.0,0.0
419,3.927125205998891,0.0,0.0,0.0,0.0,0.0,0.0
420,3.9351315130043076,0.0,0.0,0.0,0.0,0.0,0.0
421,3.9431232630013255,0.0,0.0,0.0,0.0,0.0,0.0
422,3.951127616004669,0.0,0.0,0.0,0.0,0.0,0.0
423,3.959120006999001,0.0,0.0,0.0,0.0,0.0,0.0
424,3.967157342005521,0.0,0.0,0.0,0.0,0.0,0.0
425,3.9751285539969103,0.0,0.0,0.0,0.0,0.0,0.0
426,3.983130433000042,0.0,0.0,0.0,0.0,0.0,0.0
427,3.991106432993547,0.0,0.0,0.0,0.0,0.0,0.0
428,3.999161952000577,0.0,0.0,0.0,0.0,0.0,0.0
429,4.007133794002584,0.0,0.0,0.0,0.0,0.0,0.0
430,4.0152531920030015,0.0,0.0,0.0,0.0,0.0,0.0
431,4.023127523003495,0.0,0.0,0.0,0.0,0.0,0.0
432,4.031115466001211,0.0,0.0,0.0,0.0,0.0,0.0
433,4.039121523004724,0.0,0.0,0.0,0.0,0.0,0.0
434,4.047088006002014,0.0,0.0,0.0,0.0,0.0,0.0
435,4.055116634001024,0.0,0.0,0.0,0.0,0.0,0.0
436,4.063131738002994,0.0,0.0,0.0,0.0,0.0,0.0
437,4.0711318730027415,0.0,0.0,0.0,0.0,0.0,0.0
438,4.0791546709951945,0.0,0.0,0.0,0.0,0.0,0.0
439,4.087117075992865,0.0,0.0,0.0,0.0,0.0,0.0
440,4.095112231996609,0.0,0.0,0.0,0.0,0.0,0.0
441,4.103129088995047,0.0,0.0,0.0,0.0,0.0,0.0
442,4.111119206005242,0.0,0.0,0.0,0.0,0.0,0.0
443,4.119147934994544,0.0,0.0,0.0,0.0,0.0,0.0
444,4.127115950002917,0.0,0.0,0.0,0.0,0.0,0.0
445,4.1351334679930005,0.0,0.0,0.0,0.0,0.0,0.0
446,4.143129506002879,0.0,0.0,0.0,0.0,0.0,0.0
447,4.151120925002033,0.0,0.0,0.0,0.0,0.0,0.0
448,4.159128273997339,0.0,0.0,0.0,0.0,0.0,0.0
449,4.167171930996119,0.0,0.0,0.0,0.0,0.0,0.0
450,4.175131950993091,0.0,0.0,0.0,0.0,0.0,0.0
